run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,reason,artifact_path
v1-13-paper-tracks-log-basis-only-compile-32f1f1ecb80c,log,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-log-basis-only-compile-32f1f1ecb80c.json
v1-13-paper-tracks-radioactive-decay-basis-only-compile-ebe90922f383,radioactive_decay,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-radioactive-decay-basis-only-compile-ebe90922f383.json
v1-13-paper-tracks-beer-lambert-basis-only-compile-69e15fc06bef,beer_lambert,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-beer-lambert-basis-only-compile-69e15fc06bef.json
v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6036bc33a562,scaled_exp_growth,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-scaled-exp-growth-basis-only-compile-6036bc33a562.json
v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1f7a12b07d05,scaled_exp_fast_decay,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-scaled-exp-fast-decay-basis-only-compile-1f7a12b07d05.json
v1-13-paper-tracks-arrhenius-basis-only-compile-fc0729d1e8c7,arrhenius,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-arrhenius-basis-only-compile-fc0729d1e8c7.json
v1-13-paper-tracks-michaelis-menten-basis-only-compile-2309755498fa,michaelis_menten,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-michaelis-menten-basis-only-compile-2309755498fa.json
v1-13-paper-tracks-logistic-basis-only-compile-ef8ffeed064f,logistic,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-logistic-basis-only-compile-ef8ffeed064f.json
v1-13-paper-tracks-shockley-basis-only-compile-dc9d2db8a8d6,shockley,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-shockley-basis-only-compile-dc9d2db8a8d6.json
v1-13-paper-tracks-damped-oscillator-basis-only-compile-9f887e42dbf9,damped_oscillator,compile,unsupported,unsupported,,,,,0,,,,unsupported_operator,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-damped-oscillator-basis-only-compile-9f887e42dbf9.json
v1-13-paper-tracks-planck-basis-only-compile-f40737d8466b,planck,compile,unsupported,unsupported,,,,,0,,,,constant_policy,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-planck-basis-only-compile-f40737d8466b.json
v1-13-paper-tracks-log-literal-warm-9a40ffd91e38,log,warm_start,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-log-literal-warm-9a40ffd91e38.json
v1-13-paper-tracks-logistic-literal-warm-0f6989cbe549,logistic,warm_start,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-logistic-literal-warm-0f6989cbe549.json
v1-13-paper-tracks-damped-oscillator-literal-warm-de3e7e8afc6c,damped_oscillator,warm_start,unsupported,unsupported,,,,,0,,,,unsupported_operator,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-damped-oscillator-literal-warm-de3e7e8afc6c.json
v1-13-paper-tracks-planck-literal-warm-a31543749aa2,planck,warm_start,unsupported,unsupported,,,,,0,,,,depth_exceeded,artifacts\campaigns\current-paper-tracks\runs\v1.13-paper-tracks\v1-13-paper-tracks-planck-literal-warm-a31543749aa2.json
