operator_family,operator_schedule,formula,start_mode,training_mode,depth,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate,post_snap_verifier_pass_rate,median_best_loss,median_post_snap_loss,median_runtime_seconds,median_active_node_count,median_candidate_complexity
raw_eml,fixed,arrhenius,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.007581958896480501,,
raw_eml,fixed,arrhenius,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,9.421157240802948e-33,9.421157240802948e-33,2.189481124980375,19.0,
raw_eml,fixed,beer_lambert,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.00816049997229129,,
raw_eml,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,3.723143583092301e-33,4.496499888230497e-32,2.8590218749595806,19.0,
raw_eml,fixed,damped_oscillator,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.008111833943985403,,
raw_eml,fixed,damped_oscillator,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.021226582932285964,,
raw_eml,fixed,exp,compile,compile_only_verification,2,1,1,0,0,0,0,0,1.0,0.0,0.0,1.0,,,0.03063266701065004,,
raw_eml,fixed,exp,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.1591469580307603,3.0,
raw_eml,fixed,log,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.08823329210281372,,
raw_eml,fixed,log,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.02503245894331485,,
raw_eml,fixed,logistic,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.007818875019438565,,
raw_eml,fixed,logistic,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.023735166992992163,,
raw_eml,fixed,michaelis_menten,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.007750459015369415,,
raw_eml,fixed,michaelis_menten,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1.1019529165135634e-31,1.1019529165135634e-31,9.401894791983068,41.0,
raw_eml,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.008284874958917499,,
raw_eml,fixed,planck,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.03666037495713681,,
raw_eml,fixed,radioactive_decay,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.010659374995157123,,
raw_eml,fixed,radioactive_decay,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,6.238950433728667e-33,6.238950433728667e-33,2.769891040981747,19.0,
raw_eml,fixed,scaled_exp_fast_decay,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.007936000009067357,,
raw_eml,fixed,scaled_exp_fast_decay,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,2.529487305754901e-32,2.529487305754901e-32,2.7788052080431953,19.0,
raw_eml,fixed,scaled_exp_growth,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.007705415948294103,,
raw_eml,fixed,scaled_exp_growth,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,9.258645637409282e-32,9.258645637409282e-32,2.7832010419806466,19.0,
raw_eml,fixed,shockley,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.007917791022919118,,
raw_eml,fixed,shockley,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1.1979866060425772e-30,1.1979866060425772e-30,18.079982374911197,35.0,
