run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,repair_candidate_root_count,repair_deduped_variant_count,repair_accepted_candidate_root_source,reason,artifact_path
v1-16-geml-pilot-sin-pi-raw-v116-blind-220d22c0209c,sin_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-raw-v116-blind-220d22c0209c.json
v1-16-geml-pilot-sin-pi-raw-v116-blind-7aaf87676b6f,sin_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-raw-v116-blind-7aaf87676b6f.json
v1-16-geml-pilot-sin-pi-ipi-v116-blind-2dbf88bedf2b,sin_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-ipi-v116-blind-2dbf88bedf2b.json
v1-16-geml-pilot-sin-pi-ipi-v116-blind-c803be2bb022,sin_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-sin-pi-ipi-v116-blind-c803be2bb022.json
v1-16-geml-pilot-cos-pi-raw-v116-blind-c9906f0a620d,cos_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-raw-v116-blind-c9906f0a620d.json
v1-16-geml-pilot-cos-pi-raw-v116-blind-434cf45abd91,cos_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-raw-v116-blind-434cf45abd91.json
v1-16-geml-pilot-cos-pi-ipi-v116-blind-d646ceb81086,cos_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-ipi-v116-blind-d646ceb81086.json
v1-16-geml-pilot-cos-pi-ipi-v116-blind-8400b3ba3d1b,cos_pi,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-ipi-v116-blind-8400b3ba3d1b.json
v1-16-geml-pilot-harmonic-sum-raw-v116-blind-894efc04fa0d,harmonic_sum,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-raw-v116-blind-894efc04fa0d.json
v1-16-geml-pilot-harmonic-sum-raw-v116-blind-a3087f36bc71,harmonic_sum,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-raw-v116-blind-a3087f36bc71.json
v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-6dce386f4e7b,harmonic_sum,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-6dce386f4e7b.json
v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-cbcffbfb08d5,harmonic_sum,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-cbcffbfb08d5.json
v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-c15ac8ea4804,log_periodic_oscillation,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-c15ac8ea4804.json
v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-cb9b0243d688,log_periodic_oscillation,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-raw-v116-blind-cb9b0243d688.json
v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-b9dc27c7c5eb,log_periodic_oscillation,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-b9dc27c7c5eb.json
v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-7e17daae2089,log_periodic_oscillation,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,24,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-log-periodic-oscillation-ipi-v116-blind-7e17daae2089.json
v1-16-geml-pilot-exp-raw-v116-blind-9954b4b63c6d,exp,blind,repaired_candidate,repaired_candidate,,,repaired,recovered,2,1,15,selected,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-raw-v116-blind-9954b4b63c6d.json
v1-16-geml-pilot-exp-raw-v116-blind-cf128515ef41,exp,blind,repaired_candidate,repaired_candidate,,,repaired,recovered,2,1,15,selected,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-raw-v116-blind-cf128515ef41.json
v1-16-geml-pilot-exp-ipi-v116-blind-96fd9b472e1c,exp,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-ipi-v116-blind-96fd9b472e1c.json
v1-16-geml-pilot-exp-ipi-v116-blind-f16264d68e9f,exp,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,1,8,,train_failed,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-ipi-v116-blind-f16264d68e9f.json
