run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,runtime_seconds,active_slot_count,changed_slot_count,reason,artifact_path
v1-3-showcase-exp-blind-c693d4329a15,v1.3-showcase,exp-blind,exp,blind,0,1,120,0,8,1,1,0.0,4.276013654956961,6.65026006217893,0.6864473937067659,failed,snapped_but_failed,snapped_but_failed,failed,0.4906324589974247,,,mpmath_failed,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-c693d4329a15.json
v1-3-showcase-exp-blind-dcc42f2a76ee,v1.3-showcase,exp-blind,exp,blind,1,1,120,0,8,1,1,0.0,0.0001407233664139231,0.0,0.5215925097262806,recovered,blind_recovery,recovered,recovered,0.0488340409938246,,,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-dcc42f2a76ee.json
v1-3-showcase-exp-blind-a27677c888a4,v1.3-showcase,exp-blind,exp,blind,2,1,120,0,8,1,1,0.0,2.178467855425277e-10,0.0,0.8895401997704321,recovered,blind_recovery,recovered,recovered,0.0470925840199925,,,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-a27677c888a4.json
v1-3-showcase-log-blind-332dbad5db03,v1.3-showcase,log-blind,log,blind,0,3,120,0,8,1,1,0.0,1.5733021643743739,57.11453695040577,0.19548899758933969,failed,snapped_but_failed,snapped_but_failed,failed,0.21288875001482666,,,mpmath_failed,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-332dbad5db03.json
v1-3-showcase-log-blind-a52747a50ca2,v1.3-showcase,log-blind,log,blind,1,3,120,0,8,1,1,0.0,0.9862127882894679,57.2736718817892,0.0402346068532895,failed,snapped_but_failed,snapped_but_failed,failed,0.21140262502012774,,,mpmath_failed,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-a52747a50ca2.json
v1-3-showcase-log-blind-cf7866232845,v1.3-showcase,log-blind,log,blind,2,3,120,0,8,1,1,0.0,1.31983475269851,57.16195646001804,0.06249155826184366,failed,snapped_but_failed,snapped_but_failed,failed,0.2133667500456795,,,mpmath_failed,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-cf7866232845.json
v1-3-showcase-radioactive-decay-blind-4a34febadef0,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,0,4,120,0,8,1,1,0.0,652.9115967195153,inf,0.016391574671184295,failed,failed,failed,failed,0.46600499999476597,,,mpmath_failed,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-4a34febadef0.json
v1-3-showcase-radioactive-decay-blind-8055ab006d29,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,1,4,120,0,8,1,1,0.0,693.6467612693677,inf,0.05082733481942009,failed,failed,failed,failed,0.45160204195417464,,,mpmath_failed,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-8055ab006d29.json
v1-3-showcase-radioactive-decay-blind-396f4bdf4078,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,2,4,120,0,8,1,1,0.0,780.5039556439684,inf,0.001516395309574592,failed,failed,failed,failed,0.4531965000205673,,,mpmath_failed,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-396f4bdf4078.json
v1-3-showcase-beer-perturbation-sweep-27c1dd807aa8,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,0.0,3.692847593068419e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.751614500011783,18,0,verified,artifacts/campaigns/v1.3-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-27c1dd807aa8.json
