run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,runtime_seconds,active_slot_count,changed_slot_count,reason,artifact_path
v1-3-standard-exp-blind-a5022d6098c7,v1.3-standard,exp-blind,exp,blind,0,1,80,0,8,1,1,0.0,4.276312640712871,6.65026006217893,0.4618253617907166,failed,snapped_but_failed,snapped_but_failed,failed,0.35072933294577524,,,mpmath_failed,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-exp-blind-a5022d6098c7.json
v1-3-standard-exp-blind-f5720b502dfe,v1.3-standard,exp-blind,exp,blind,1,1,80,0,8,1,1,0.0,0.004462506622418204,0.0,0.3533736054875897,recovered,blind_recovery,recovered,recovered,0.03763733396772295,,,verified,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-exp-blind-f5720b502dfe.json
v1-3-standard-log-blind-194180dc5df0,v1.3-standard,log-blind,log,blind,0,3,80,0,8,1,1,0.0,1.6346277048832631,57.11453695040577,0.06559763555479026,failed,snapped_but_failed,snapped_but_failed,failed,0.15272804198320955,,,mpmath_failed,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-log-blind-194180dc5df0.json
v1-3-standard-log-blind-99aa5ff393ee,v1.3-standard,log-blind,log,blind,1,3,80,0,8,1,1,0.0,0.9828604315865963,57.2736718817892,0.040214261504050275,failed,snapped_but_failed,snapped_but_failed,failed,0.1543194999685511,,,mpmath_failed,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-log-blind-99aa5ff393ee.json
v1-3-standard-radioactive-decay-blind-20f83222d0db,v1.3-standard,radioactive-decay-blind,radioactive_decay,blind,0,4,80,0,8,1,1,0.0,662.4053453501712,inf,0.016389018309306447,failed,failed,failed,failed,0.31832333299098536,,,mpmath_failed,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-20f83222d0db.json
v1-3-standard-radioactive-decay-blind-83660c5b4b25,v1.3-standard,radioactive-decay-blind,radioactive_decay,blind,1,4,80,0,8,1,1,0.0,605.0998472184481,inf,0.051373298683507373,failed,failed,failed,failed,0.31179479201091453,,,mpmath_failed,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-83660c5b4b25.json
v1-3-standard-beer-perturbation-sweep-583f8b4d1958,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,0.0,3.719786715409145e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,8.680610957962926,18,0,verified,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-583f8b4d1958.json
v1-3-standard-beer-perturbation-sweep-1fd0469252df,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,5.0,3.7231435830923e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,8.701685082982294,18,0,verified,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-1fd0469252df.json
v1-3-standard-beer-perturbation-sweep-348eebff7ed4,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,35.0,6.97217942933663,7.2250695723031635,0.9725785021131478,failed,snapped_but_failed,snapped_but_failed,failed,8.78004649997456,18,5,verified,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-348eebff7ed4.json
v1-3-standard-beer-perturbation-sweep-30add2b53d7d,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,60,1,1,0.0,5.246927403816514e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,8.929429000010714,18,0,verified,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-30add2b53d7d.json
v1-3-standard-beer-perturbation-sweep-3538303249fd,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,60,1,1,5.0,5.2469273702861774e-33,4.542698990054559e-32,0.9999999999999996,recovered,same_ast_warm_start_return,same_ast_return,recovered,9.099947875016369,18,0,verified,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-3538303249fd.json
v1-3-standard-beer-perturbation-sweep-68c818aed370,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,60,1,1,35.0,0.21927529113730626,0.21927561010523208,0.99999767229955,failed,snapped_but_failed,snapped_but_failed,failed,8.85579320898978,18,3,verified,artifacts/campaigns/v1.3-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-68c818aed370.json
