run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-3-showcase-exp-blind-c9b0efbce9ee,v1.3-showcase,exp-blind,exp,blind,0,1,120,0,8,1,1,0.0,0.0,0.0,1.0,recovered,blind_recovery,recovered,recovered,0.3922102500218898,,,,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-c9b0efbce9ee.json
v1-3-showcase-exp-blind-09e5792b415c,v1.3-showcase,exp-blind,exp,blind,1,1,120,0,8,1,1,0.0,0.0,0.0,1.0,recovered,blind_recovery,recovered,recovered,0.0802980000153184,,,,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-09e5792b415c.json
v1-3-showcase-exp-blind-730f8205e3a5,v1.3-showcase,exp-blind,exp,blind,2,1,120,0,8,1,1,0.0,0.0,0.0,1.0,recovered,blind_recovery,recovered,recovered,0.08140662498772144,,,,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-730f8205e3a5.json
v1-3-showcase-log-blind-4295ef60db62,v1.3-showcase,log-blind,log,blind,0,3,120,0,8,1,1,0.0,1.6065967163686542e-32,1.6065967163686542e-32,1.0,recovered,blind_recovery,recovered,recovered,0.621672417037189,,,,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-4295ef60db62.json
v1-3-showcase-log-blind-a1794a209f92,v1.3-showcase,log-blind,log,blind,1,3,120,0,8,1,1,0.0,1.140311021239276e-32,1.140311021239276e-32,1.0,recovered,blind_recovery,recovered,recovered,0.6240347499842755,,,,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-a1794a209f92.json
v1-3-showcase-log-blind-1d187302bd3e,v1.3-showcase,log-blind,log,blind,2,3,120,0,8,1,1,0.0,9.854341548781356e-33,9.854341548781356e-33,1.0,recovered,blind_recovery,recovered,recovered,0.6180987089755945,,,,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-1d187302bd3e.json
v1-3-showcase-radioactive-decay-blind-dbaaf54f8dfc,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,0,4,120,0,8,1,1,0.0,3.5728561521430504,3.5728561521430513,1.0,failed,snapped_but_failed,snapped_but_failed,failed,1.273224541975651,,,,mpmath_failed,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-dbaaf54f8dfc.json
v1-3-showcase-radioactive-decay-blind-1e9c9e6e9a4c,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,1,4,120,0,8,1,1,0.0,2.962632700433437,2.962632700433438,1.0,failed,snapped_but_failed,snapped_but_failed,failed,1.291247834044043,,,,mpmath_failed,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-1e9c9e6e9a4c.json
v1-3-showcase-radioactive-decay-blind-0015db66c35c,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,2,4,120,0,8,1,1,0.0,3.330303591503784,3.330303591503784,1.0,failed,snapped_but_failed,snapped_but_failed,failed,1.2839712919667363,,,,mpmath_failed,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-0015db66c35c.json
v1-3-showcase-beer-perturbation-sweep-435be952d0ca,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,0.0,3.692847593068419e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.911941874946933,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-435be952d0ca.json
v1-3-showcase-beer-perturbation-sweep-69eabbb6d241,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,2.5,3.723143583092301e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.159515207982622,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-69eabbb6d241.json
v1-3-showcase-beer-perturbation-sweep-937ebfff3599,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,5.0,3.7231435830920714e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.873211708036251,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-937ebfff3599.json
v1-3-showcase-beer-perturbation-sweep-a55eaf5ac72f,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,15.0,3.72263689168382e-33,4.496499888230497e-32,0.9999999996718436,recovered,same_ast_warm_start_return,same_ast_return,recovered,13.025300958019216,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-a55eaf5ac72f.json
v1-3-showcase-beer-perturbation-sweep-860689755983,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,35.0,6.918600622230206,7.2250695723031635,0.985069290082722,failed,snapped_but_failed,snapped_but_failed,failed,12.777444833016489,18,5,active_slot_perturbation,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-860689755983.json
v1-3-showcase-beer-perturbation-sweep-642d7c182505,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,0.0,5.2284889031135384e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.87439362501027,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-642d7c182505.json
v1-3-showcase-beer-perturbation-sweep-ed542eadbeb0,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,2.5,5.2469216860237764e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.680895709025208,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-ed542eadbeb0.json
v1-3-showcase-beer-perturbation-sweep-20388cb78c9d,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,5.0,5.2362491614337876e-33,4.542698990054559e-32,0.9999999999999996,recovered,same_ast_warm_start_return,same_ast_return,recovered,12.898120124998968,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-20388cb78c9d.json
v1-3-showcase-beer-perturbation-sweep-56c113f0e392,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,90,1,1,15.0,0.21509044977487604,0.21927561010523208,0.9998926154620775,failed,snapped_but_failed,snapped_but_failed,failed,13.249491708993446,18,1,active_slot_perturbation,verified,artifacts/campaigns/v1.4-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-56c113f0e392.json
