run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-3-standard-exp-blind-4e3c68a43de2,v1.3-standard,exp-blind,exp,blind,0,1,80,0,8,1,1,0.0,0.0,0.0,1.0,recovered,blind_recovery,recovered,recovered,0.382988374971319,,,,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-exp-blind-4e3c68a43de2.json
v1-3-standard-exp-blind-645cada9ed62,v1.3-standard,exp-blind,exp,blind,1,1,80,0,8,1,1,0.0,0.0,0.0,1.0,recovered,blind_recovery,recovered,recovered,0.06002770905615762,,,,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-exp-blind-645cada9ed62.json
v1-3-standard-log-blind-72524a72595b,v1.3-standard,log-blind,log,blind,0,3,80,0,8,1,1,0.0,1.6065967163686542e-32,1.6065967163686542e-32,1.0,recovered,blind_recovery,recovered,recovered,0.41843716701259837,,,,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-log-blind-72524a72595b.json
v1-3-standard-log-blind-a396abda487c,v1.3-standard,log-blind,log,blind,1,3,80,0,8,1,1,0.0,1.140311021239276e-32,1.140311021239276e-32,1.0,recovered,blind_recovery,recovered,recovered,0.41311545902863145,,,,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-log-blind-a396abda487c.json
v1-3-standard-radioactive-decay-blind-a5182baf92cb,v1.3-standard,radioactive-decay-blind,radioactive_decay,blind,0,4,80,0,8,1,1,0.0,3.5728561521430513,3.5728561521430513,1.0,failed,snapped_but_failed,snapped_but_failed,failed,0.8619209169992246,,,,mpmath_failed,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-a5182baf92cb.json
v1-3-standard-radioactive-decay-blind-72661a29e7af,v1.3-standard,radioactive-decay-blind,radioactive_decay,blind,1,4,80,0,8,1,1,0.0,2.962632700433437,2.962632700433438,1.0,failed,snapped_but_failed,snapped_but_failed,failed,0.8560918329749256,,,,mpmath_failed,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-72661a29e7af.json
v1-3-standard-beer-perturbation-sweep-299ba6273bd5,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,0.0,3.719786715409145e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,8.41039620799711,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-299ba6273bd5.json
v1-3-standard-beer-perturbation-sweep-d713bde30e74,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,5.0,3.7231435830923e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,8.281921625020914,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-d713bde30e74.json
v1-3-standard-beer-perturbation-sweep-10022388db85,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,35.0,6.97217942933663,7.2250695723031635,0.9725785021131478,failed,snapped_but_failed,snapped_but_failed,failed,8.22587000002386,18,5,active_slot_perturbation,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-10022388db85.json
v1-3-standard-beer-perturbation-sweep-908c2afdce7f,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,60,1,1,0.0,5.246927403816514e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,8.243143666011747,18,0,same_ast_return,verified,artifacts/campaigns/v1.4-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-908c2afdce7f.json
