run_id,formula,start_mode,classification,status,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,reason,artifact_path
v1-3-showcase-radioactive-decay-blind-b3e3e9713a2f,radioactive_decay,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,mpmath_failed,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-b3e3e9713a2f.json
v1-3-showcase-radioactive-decay-blind-e6ed81811e49,radioactive_decay,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,mpmath_failed,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-e6ed81811e49.json
v1-3-showcase-radioactive-decay-blind-ad44bbc72189,radioactive_decay,blind,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,mpmath_failed,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-ad44bbc72189.json
v1-3-showcase-beer-perturbation-sweep-898774a53e8f,beer_lambert,warm_start,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-898774a53e8f.json
v1-3-showcase-beer-perturbation-sweep-9d375abe6a37,beer_lambert,warm_start,repaired_candidate,repaired_candidate,,,repaired,recovered,1,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-9d375abe6a37.json
v1-3-showcase-beer-perturbation-sweep-e461b66ca248,beer_lambert,warm_start,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-e461b66ca248.json
v1-3-showcase-beer-perturbation-sweep-9795c140e91e,beer_lambert,warm_start,snapped_but_failed,snapped_but_failed,,,not_repaired,,0,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-9795c140e91e.json
v1-3-showcase-michaelis-warm-diagnostic-137223f28fd1,michaelis_menten,warm_start,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-michaelis-warm-diagnostic-137223f28fd1.json
v1-3-showcase-logistic-compile-f711ed10dbe9,logistic,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-logistic-compile-f711ed10dbe9.json
v1-3-showcase-damped-oscillator-compile-5bbd87a8b2d5,damped_oscillator,compile,unsupported,unsupported,,,,,0,unsupported_operator,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-damped-oscillator-compile-5bbd87a8b2d5.json
v1-3-showcase-planck-diagnostic-29e4faa8cb28,planck,compile,unsupported,unsupported,,,,,0,depth_exceeded,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-planck-diagnostic-29e4faa8cb28.json
