run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-3-showcase-exp-blind-1223988aca5e,v1.3-showcase,exp-blind,exp,blind,0,1,120,0,8,1,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),0.36431675002677366,,,,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-1223988aca5e.json
v1-3-showcase-exp-blind-fdfa9d1cebd5,v1.3-showcase,exp-blind,exp,blind,1,1,120,0,8,1,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,1712ceb0c8bcc82f4322f7ed81d4f137f8e7bfa8f54a3eef523c9cd3482b3d10,sources/paper.pdf,exp(x),0.10487791697960347,,,,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-fdfa9d1cebd5.json
v1-3-showcase-exp-blind-de55d12697cc,v1.3-showcase,exp-blind,exp,blind,2,1,120,0,8,1,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,bdeadd5b90acccde0f7d6e60ec059cc2b372b6a48dfe2a81352c876ce344a1e7,sources/paper.pdf,exp(x),0.11320395796792582,,,,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-exp-blind-de55d12697cc.json
v1-3-showcase-log-blind-f8f1f47a96a6,v1.3-showcase,log-blind,log,blind,0,3,120,0,8,1,1,0.0,1.6065967163686542e-32,1.6065967163686542e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),0.8338985840091482,,,,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-f8f1f47a96a6.json
v1-3-showcase-log-blind-46217afc1013,v1.3-showcase,log-blind,log,blind,1,3,120,0,8,1,1,0.0,1.140311021239276e-32,1.140311021239276e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,d1ee4c5835b8dff9f32ad60d840edd2970923edb68345ab9926851e4c9141869,sources/paper.pdf,E - log(exp(E)/x),0.7669718749821186,,,,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-46217afc1013.json
v1-3-showcase-log-blind-002f421e5add,v1.3-showcase,log-blind,log,blind,2,3,120,0,8,1,1,0.0,9.854341548781356e-33,9.854341548781356e-33,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,a2c919e8a7c83cd5bd2939ec69a48c9b662bce011d86cfbf2589c9121e07cfcb,sources/paper.pdf,E - log(exp(E)/x),0.8330437500262633,,,,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-log-blind-002f421e5add.json
v1-3-showcase-radioactive-decay-blind-b3e3e9713a2f,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,0,4,120,0,8,1,1,0.0,3.5728561521430504,3.5728561521430513,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c8a28771cd580ccc9841ae60500a9f756b9dd196e5fd5c34f39af7d597c46b91,sources/FOR_DEMO.md,exp(-0.4*t),2.187846874992829,,,,mpmath_failed,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-b3e3e9713a2f.json
v1-3-showcase-radioactive-decay-blind-e6ed81811e49,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,1,4,120,0,8,1,1,0.0,2.962632700433437,2.962632700433438,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,bb0f6c4b9299fbcaa067b034644ab49c6ffabf3f8fbd3da92b39928fedf98d1d,sources/FOR_DEMO.md,exp(-0.4*t),1.9316032500355504,,,,mpmath_failed,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-e6ed81811e49.json
v1-3-showcase-radioactive-decay-blind-ad44bbc72189,v1.3-showcase,radioactive-decay-blind,radioactive_decay,blind,2,4,120,0,8,1,1,0.0,3.330303591503784,3.330303591503784,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,d148820768d88ac1ae0f5865abb19ad99d3c73545ef14883557bfaa98835b8f6,sources/FOR_DEMO.md,exp(-0.4*t),1.861292457964737,,,,mpmath_failed,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-radioactive-decay-blind-ad44bbc72189.json
v1-3-showcase-beer-perturbation-sweep-7a705735af42,v1.3-showcase,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,90,1,1,0.0,3.692847593068419e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),15.958525000023656,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-showcase/runs/v1.3-showcase/v1-3-showcase-beer-perturbation-sweep-7a705735af42.json
