run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-3-standard-exp-blind-614ae767075b,v1.3-standard,exp-blind,exp,blind,0,1,80,0,8,1,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),0.4294962919666432,,,,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-exp-blind-614ae767075b.json
v1-3-standard-exp-blind-648611a34c09,v1.3-standard,exp-blind,exp,blind,1,1,80,0,8,1,1,0.0,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,1712ceb0c8bcc82f4322f7ed81d4f137f8e7bfa8f54a3eef523c9cd3482b3d10,sources/paper.pdf,exp(x),0.08232970896642655,,,,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-exp-blind-648611a34c09.json
v1-3-standard-log-blind-6ae6e02d45eb,v1.3-standard,log-blind,log,blind,0,3,80,0,8,1,1,0.0,1.6065967163686542e-32,1.6065967163686542e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),0.5555949169793166,,,,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-log-blind-6ae6e02d45eb.json
v1-3-standard-log-blind-0c0b9d47ee16,v1.3-standard,log-blind,log,blind,1,3,80,0,8,1,1,0.0,1.140311021239276e-32,1.140311021239276e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,d1ee4c5835b8dff9f32ad60d840edd2970923edb68345ab9926851e4c9141869,sources/paper.pdf,E - log(exp(E)/x),0.5526231660041958,,,,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-log-blind-0c0b9d47ee16.json
v1-3-standard-radioactive-decay-blind-89532c08e43a,v1.3-standard,radioactive-decay-blind,radioactive_decay,blind,0,4,80,0,8,1,1,0.0,3.5728561521430513,3.5728561521430513,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c8a28771cd580ccc9841ae60500a9f756b9dd196e5fd5c34f39af7d597c46b91,sources/FOR_DEMO.md,exp(-0.4*t),1.4345642499974929,,,,mpmath_failed,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-89532c08e43a.json
v1-3-standard-radioactive-decay-blind-4f7c8ca23154,v1.3-standard,radioactive-decay-blind,radioactive_decay,blind,1,4,80,0,8,1,1,0.0,2.962632700433437,2.962632700433438,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,bb0f6c4b9299fbcaa067b034644ab49c6ffabf3f8fbd3da92b39928fedf98d1d,sources/FOR_DEMO.md,exp(-0.4*t),1.4183397919987328,,,,mpmath_failed,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-radioactive-decay-blind-4f7c8ca23154.json
v1-3-standard-beer-perturbation-sweep-c671cedf25f1,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,0.0,3.719786715409145e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),11.714477041969076,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-c671cedf25f1.json
v1-3-standard-beer-perturbation-sweep-1d8cb4154f82,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,5.0,3.7231435830923e-33,4.496499888230497e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),11.49574191699503,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-1d8cb4154f82.json
v1-3-standard-beer-perturbation-sweep-7ab0d86550b5,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,0,2,8,0,60,1,1,35.0,6.97217942933663,7.2250695723031635,0.9726757721616304,failed,snapped_but_failed,snapped_but_failed,failed,,,compiler_warm_start_training,snapped_but_failed,,,not_repaired,,0,,096497d3b72555a9e4b9f762bb704cea600f3e202d83267123c3be13707873da,sources/FOR_DEMO.md,exp(-0.8*x),11.870491166017018,18,5,active_slot_perturbation,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-7ab0d86550b5.json
v1-3-standard-beer-perturbation-sweep-e788a78570ad,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,60,1,1,0.0,5.246927403816514e-33,4.542698990054559e-32,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),11.080328583018854,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-e788a78570ad.json
v1-3-standard-beer-perturbation-sweep-733ae644e204,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,60,1,1,5.0,5.2469273702861774e-33,4.542698990054559e-32,0.9999999999999996,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),11.363098667003214,18,0,same_ast_return,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-733ae644e204.json
v1-3-standard-beer-perturbation-sweep-0a5d1d92fa79,v1.3-standard,beer-perturbation-sweep,beer_lambert,warm_start,1,2,8,0,60,1,1,35.0,0.21927529113730626,0.21927561010523208,0.9999976754580311,failed,snapped_but_failed,snapped_but_failed,failed,,,compiler_warm_start_training,snapped_but_failed,,,not_repaired,,0,,d3074e308145e8a5e13ad2e6fcb58fd9256c0d106bf6c8f68b4d005c5c65d3f6,sources/FOR_DEMO.md,exp(-0.8*x),11.244796000013594,18,3,active_slot_perturbation,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-beer-perturbation-sweep-0a5d1d92fa79.json
v1-3-standard-michaelis-warm-diagnostic-9917f8383370,v1.3-standard,michaelis-warm-diagnostic,michaelis_menten,warm_start,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,,,compiler_warm_start_training,unsupported,,,,,0,,ed0b514b76e91b981a47143e6e583f9cc342c17e88768e87819fa2b6e89141b0,sources/FOR_DEMO.md,2*x/(x + 0.5),0.0739354999968782,,,,depth_exceeded,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-michaelis-warm-diagnostic-9917f8383370.json
v1-3-standard-logistic-compile-a99c41f57b97,v1.3-standard,logistic-compile,logistic,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,e132c7fd8662bb7ee2597b3ab81998f0e55c26a772240a1eddd39e0dc502ac67,sources/FOR_DEMO.md,1/(1 + 2*exp(-1.3*x)),0.017801874957513064,,,,depth_exceeded,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-logistic-compile-a99c41f57b97.json
v1-3-standard-shockley-warm-316f98a5b1fb,v1.3-standard,shockley-warm,shockley,warm_start,0,2,8,0,1,1,1,0.0,1.1979866060425772e-30,1.1979866060425772e-30,1.0,recovered,same_ast_warm_start_return,same_ast_return,recovered,,,compiler_warm_start_training,same_ast,,,not_attempted,,0,,3009868ccb92bb446529829a4c396045d5bf85a0f5b654bcb072726781ab0478,sources/FOR_DEMO.md,0.2*exp(1.4*x) - 0.2,17.83554375002859,34,0,same_ast_return,verified,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-shockley-warm-316f98a5b1fb.json
v1-3-standard-planck-diagnostic-2309e6363fc8,v1.3-standard,planck-diagnostic,planck,compile,0,2,8,0,8,1,1,0.0,,,,,unsupported,unsupported,unsupported,,,compile_only_verification,unsupported,,,,,0,,021d09cad64656081182e9fb2b8993d4e224508b48e68e774004d9c2ede861de,sources/FOR_DEMO.md,x**3/(exp(x) - 1),0.035103583009913564,,,,depth_exceeded,artifacts/campaigns/v1.6-standard/runs/v1.3-standard/v1-3-standard-planck-diagnostic-2309e6363fc8.json
