operator_family,operator_schedule,formula,start_mode,training_mode,depth,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate,post_snap_verifier_pass_rate,median_best_loss,median_post_snap_loss,median_runtime_seconds,median_active_node_count,median_candidate_complexity
CEML_1,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.9999999999996667,1.0,1.070779624977149,3.0,
CEML_1,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.18395315158474082,0.1839531515847408,1.355921667010989,7.0,
CEML_2,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.3720902202243008,1.2295265094499561,1.1095759579911828,3.0,
CEML_2,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.3587306274625643,1.49538197897908,1.3024777499958873,3.0,
CEML_4,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.4430498036980054,1.349822776100326,1.0273970830021426,3.0,
CEML_4,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.5633383893633102,1.5633383893643238,1.4028975000255741,7.0,
CEML_8,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.4724901747119129,1.4115267367746875,1.220799167000223,3.0,
CEML_8,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.7708617203745606,0.9361936630137444,1.3581235420424491,7.0,
ZEML_1,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,2.8667473750376864,2.866747375038092,1.085820667038206,3.0,
ZEML_1,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.1022124749855136,1.1022124749855138,1.1985390420304611,7.0,
ZEML_2,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,3.676280438093948,3.6762804380944836,1.0818878340069205,3.0,
ZEML_2,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.16224898591227654,0.5217704070885725,1.3247037089895457,3.0,
ZEML_4,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,4.201552244062039,4.201552244062683,1.1130501659936272,3.0,
ZEML_4,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.09883478788074188,0.486125568659873,1.2844862079946324,3.0,
ZEML_8,ZEML_8 -> ZEML_4,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,4.201552244062683,4.201552244062683,1.1387947499752045,3.0,
ZEML_8,ZEML_8 -> ZEML_4,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.17827257240766758,0.486125568659873,1.264414208009839,3.0,
ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,2.8667473750380923,2.866747375038092,1.1732242919970304,3.0,
ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.22118141132346475,1.021775072282684,1.3482237909920514,3.0,
ZEML_8,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,4.5133079321551195,4.513307932155835,1.1065772090223618,3.0,
ZEML_8,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.1487767867643284,0.5122837911528454,1.349561624985654,3.0,
raw_eml,fixed,exp,blind,blind_training,1,1,1,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.3356630000052974,3.0,
raw_eml,fixed,log,blind,blind_training,3,1,1,0,0,0,0,0,1.0,0.0,0.0,1.0,1.3867447915972624e-32,1.3867447915972624e-32,1.1700609580148011,7.0,
