run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-8-family-calibration-cal-exp-blind-raw-e9105374ad46,v1.8-family-calibration,cal-exp-blind-raw,exp,blind,0,1,12,0,8,1,1,0.0,raw_eml,,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.3356630000052974,,,,verified,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-raw-e9105374ad46.json
v1-8-family-calibration-cal-exp-blind-ceml1-da80ed604deb,v1.8-family-calibration,cal-exp-blind-ceml1,exp,blind,0,1,12,0,8,1,1,0.0,CEML_1,,0.9999999999996667,1.0,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.070779624977149,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-ceml1-da80ed604deb.json
v1-8-family-calibration-cal-exp-blind-zeml1-36850fb8c754,v1.8-family-calibration,cal-exp-blind-zeml1,exp,blind,0,1,12,0,8,1,1,0.0,ZEML_1,,2.8667473750376864,2.866747375038092,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.085820667038206,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-zeml1-36850fb8c754.json
v1-8-family-calibration-cal-exp-blind-ceml2-28bdf8eae7cb,v1.8-family-calibration,cal-exp-blind-ceml2,exp,blind,0,1,12,0,8,1,1,0.0,CEML_2,,0.3720902202243008,1.2295265094499561,0.17753160987581612,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.1095759579911828,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-ceml2-28bdf8eae7cb.json
v1-8-family-calibration-cal-exp-blind-zeml2-3c5545485466,v1.8-family-calibration,cal-exp-blind-zeml2,exp,blind,0,1,12,0,8,1,1,0.0,ZEML_2,,3.676280438093948,3.6762804380944836,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.0818878340069205,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-zeml2-3c5545485466.json
v1-8-family-calibration-cal-exp-blind-ceml4-7a34d37e5806,v1.8-family-calibration,cal-exp-blind-ceml4,exp,blind,0,1,12,0,8,1,1,0.0,CEML_4,,0.4430498036980054,1.349822776100326,0.12162143839971562,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.0273970830021426,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-ceml4-7a34d37e5806.json
v1-8-family-calibration-cal-exp-blind-zeml4-97033b3e7f90,v1.8-family-calibration,cal-exp-blind-zeml4,exp,blind,0,1,12,0,8,1,1,0.0,ZEML_4,,4.201552244062039,4.201552244062683,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.1130501659936272,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-zeml4-97033b3e7f90.json
v1-8-family-calibration-cal-exp-blind-ceml8-d51a7b70d1e9,v1.8-family-calibration,cal-exp-blind-ceml8,exp,blind,0,1,12,0,8,1,1,0.0,CEML_8,,0.4724901747119129,1.4115267367746875,0.09477993397095008,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.220799167000223,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-ceml8-d51a7b70d1e9.json
v1-8-family-calibration-cal-exp-blind-zeml8-e3b9ab80a7e5,v1.8-family-calibration,cal-exp-blind-zeml8,exp,blind,0,1,12,0,8,1,1,0.0,ZEML_8,,4.5133079321551195,4.513307932155835,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.1065772090223618,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-zeml8-e3b9ab80a7e5.json
v1-8-family-calibration-cal-exp-blind-zeml8-4-b101857743a1,v1.8-family-calibration,cal-exp-blind-zeml8-4,exp,blind,0,1,12,0,8,1,1,0.0,ZEML_8,ZEML_8 -> ZEML_4,4.201552244062683,4.201552244062683,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,4c3b82306930ac2747eab867763be5f9d9d2a0cbde6ffa0e9bdbe3e97d798d93,sources/paper.pdf,exp(x),1.1387947499752045,,,,train_failed,artifacts/campaigns/v1.8-family-calibration/runs/v1.8-family-calibration/v1-8-family-calibration-cal-exp-blind-zeml8-4-b101857743a1.json
