operator_family,operator_schedule,formula,start_mode,training_mode,depth,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate,post_snap_verifier_pass_rate,median_best_loss,median_post_snap_loss,median_runtime_seconds,median_active_node_count,median_candidate_complexity
CEML_1,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.023623457993380725,,
CEML_1,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.9999999999996655,1.0,1.0735986250219867,3.0,
CEML_1,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.021985416999086738,,
CEML_2,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.021804041985888034,,
CEML_2,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.7599558457779233,1.2206895849232353,1.1281873749685474,3.0,
CEML_2,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.02180899999802932,,
CEML_4,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.02282316703349352,,
CEML_4,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.6339795622340607,1.3360697028631083,1.0851739589706995,3.0,
CEML_4,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.021974666975438595,,
CEML_8,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.023351082985755056,,
CEML_8,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.6127632015333887,1.395183159813234,1.0562140829861164,3.0,
CEML_8,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.0222150000045076,,
ZEML_1,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.022665750002488494,,
ZEML_1,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,2.866747375037684,2.866747375038092,1.1716153749730438,3.0,
ZEML_1,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.0219595410162583,,
ZEML_2,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.021732292021624744,,
ZEML_2,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,3.66158143099898,3.661581430999517,1.0907133749569766,3.0,
ZEML_2,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.02238924999255687,,
ZEML_4,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.023167292005382478,,
ZEML_4,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,4.178400535991042,4.178400535991685,1.0584609159850515,3.0,
ZEML_4,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.022379583038855344,,
ZEML_8,ZEML_8 -> ZEML_4,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.022434832993894815,,
ZEML_8,ZEML_8 -> ZEML_4,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,4.178400535991686,4.178400535991685,1.0380312919733115,3.0,
ZEML_8,ZEML_8 -> ZEML_4,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.022120875015389174,,
ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.022349541017320007,,
ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,2.866747375038092,2.866747375038092,0.9829160419758409,3.0,
ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.02211779198842123,,
ZEML_8,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,1.0,,,0.02286775002721697,,
ZEML_8,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,4.485504223269849,4.485504223270564,1.087301917024888,3.0,
ZEML_8,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.022398416011128575,,
raw_eml,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,3.723143583092301e-33,4.496499888230497e-32,3.177531707973685,19.0,
raw_eml,fixed,exp,blind,blind_training,1,1,1,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.4590948750264943,3.0,
raw_eml,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.07062512496486306,,
