operator_family,operator_schedule,formula,start_mode,training_mode,depth,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate,post_snap_verifier_pass_rate,median_best_loss,median_post_snap_loss,median_runtime_seconds,median_active_node_count,median_candidate_complexity
CEML_1,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,3,0,0,0,3,0,0,0.0,1.0,0.0,1.0,,,0.02593341696774587,,
CEML_1,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.9999999999996655,1.0,1.0436410420225002,3.0,
CEML_1,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.1817844261994123,0.1817844261994123,1.6199689999921247,7.0,
CEML_2,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,3,0,0,0,3,0,0,0.0,1.0,0.0,1.0,,,0.02162491698982194,,
CEML_2,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.2206895849228638,1.2206895849232353,1.0369984999997541,3.0,
CEML_2,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.1494993042821118,1.1494993042828652,1.6850094170076773,7.0,
CEML_4,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,3,0,0,0,3,0,0,0.0,1.0,0.0,1.0,,,0.02006187499500811,,
CEML_4,fixed,exp,blind,blind_training,1,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,1.336069702862711,1.3360697028631083,1.0065716670360416,3.0,
CEML_4,fixed,log,blind,blind_training,3,1,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.5245107626866664,2.0849146271300385,1.5956230830051936,7.0,
CEML_8,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,3,0,0,0,3,0,0,0.0,1.0,0.0,1.0,,,0.025540417002048343,,
