run_id,suite_id,case_id,formula,start_mode,seed,depth,steps,warm_depth,warm_steps,restarts,warm_restarts,perturbation_noise,operator_family,operator_schedule,best_loss,post_snap_loss,snap_min_margin,verifier_status,recovery_class,status,claim_status,claim_id,claim_class,training_mode,evidence_class,return_kind,raw_status,repair_status,repair_verifier_status,repair_accepted_move_count,threshold_policy,dataset_manifest_sha256,provenance_source,provenance_expression,runtime_seconds,active_slot_count,changed_slot_count,warm_start_mechanism,reason,artifact_path
v1-8-family-standard-exp-blind-raw-db98b346491e,v1.8-family-standard,exp-blind-raw,exp,blind,0,1,80,0,8,1,1,0.0,raw_eml,,0.0,0.0,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.43459395802347,,,,verified,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-raw-db98b346491e.json
v1-8-family-standard-exp-blind-ceml1-4ac74eb747e9,v1.8-family-standard,exp-blind-ceml1,exp,blind,0,1,80,0,8,1,1,0.0,CEML_1,,0.9999999999996655,1.0,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0436410420225002,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-ceml1-4ac74eb747e9.json
v1-8-family-standard-exp-blind-zeml1-c9c4d5c0452f,v1.8-family-standard,exp-blind-zeml1,exp,blind,0,1,80,0,8,1,1,0.0,ZEML_1,,2.866747375037684,2.866747375038092,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.088920500013046,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-zeml1-c9c4d5c0452f.json
v1-8-family-standard-exp-blind-ceml2-3460d3d0f07b,v1.8-family-standard,exp-blind-ceml2,exp,blind,0,1,80,0,8,1,1,0.0,CEML_2,,1.2206895849228638,1.2206895849232353,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0369984999997541,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-ceml2-3460d3d0f07b.json
v1-8-family-standard-exp-blind-zeml2-052d8389ce66,v1.8-family-standard,exp-blind-zeml2,exp,blind,0,1,80,0,8,1,1,0.0,ZEML_2,,3.66158143099898,3.661581430999517,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.012244958023075,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-zeml2-052d8389ce66.json
v1-8-family-standard-exp-blind-ceml4-26af8c11d98f,v1.8-family-standard,exp-blind-ceml4,exp,blind,0,1,80,0,8,1,1,0.0,CEML_4,,1.336069702862711,1.3360697028631083,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0065716670360416,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-ceml4-26af8c11d98f.json
v1-8-family-standard-exp-blind-zeml4-fc85b8b90bd9,v1.8-family-standard,exp-blind-zeml4,exp,blind,0,1,80,0,8,1,1,0.0,ZEML_4,,4.178400535991042,4.178400535991685,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.111006124992855,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-zeml4-fc85b8b90bd9.json
v1-8-family-standard-exp-blind-ceml8-57c361c3087d,v1.8-family-standard,exp-blind-ceml8,exp,blind,0,1,80,0,8,1,1,0.0,CEML_8,,1.3951831598128217,1.395183159813234,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0161510829930194,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-ceml8-57c361c3087d.json
v1-8-family-standard-exp-blind-zeml8-e04f0ac48af2,v1.8-family-standard,exp-blind-zeml8,exp,blind,0,1,80,0,8,1,1,0.0,ZEML_8,,4.485504223269849,4.485504223270564,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.1033214590279385,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-zeml8-e04f0ac48af2.json
v1-8-family-standard-exp-blind-zeml8-4-f86120c07c43,v1.8-family-standard,exp-blind-zeml8-4,exp,blind,0,1,80,0,8,1,1,0.0,ZEML_8,ZEML_8 -> ZEML_4,4.178400535991686,4.178400535991685,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.045403499971144,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-zeml8-4-f86120c07c43.json
v1-8-family-standard-exp-blind-zeml8-4-2-1-22405499cfd3,v1.8-family-standard,exp-blind-zeml8-4-2-1,exp,blind,0,1,80,0,8,1,1,0.0,ZEML_8,ZEML_8 -> ZEML_4 -> ZEML_2 -> ZEML_1,2.866747375038092,2.866747375038092,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,c237c6da1b08d9529271554abe841aeb1f97b3e9467fb83a6451f2727ecf4c2d,sources/paper.pdf,exp(x),1.0246905829990283,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-exp-blind-zeml8-4-2-1-22405499cfd3.json
v1-8-family-standard-log-blind-raw-49258e1cb4d3,v1.8-family-standard,log-blind-raw,log,blind,0,3,80,0,8,1,1,0.0,raw_eml,,1.6065967163686542e-32,1.6065967163686542e-32,1.0,recovered,scaffolded_blind_recovery,recovered,recovered,,,blind_training,scaffolded_blind_training_recovered,,,not_attempted,,0,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),1.4590190409799106,,,,verified,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-log-blind-raw-49258e1cb4d3.json
v1-8-family-standard-log-blind-ceml1-500936c57f56,v1.8-family-standard,log-blind-ceml1,log,blind,0,3,80,0,8,1,1,0.0,CEML_1,,0.1817844261994123,0.1817844261994123,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),1.6199689999921247,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-log-blind-ceml1-500936c57f56.json
v1-8-family-standard-log-blind-zeml1-4298c6f72051,v1.8-family-standard,log-blind-zeml1,log,blind,0,3,80,0,8,1,1,0.0,ZEML_1,,1.0756222462379676,1.0756222462379676,1.0,failed,snapped_but_failed,snapped_but_failed,failed,,,blind_training,snapped_but_failed,,,not_repaired,,0,,233dec39b6608f64a02052b470c118a5164ad9c81232c5a0772fb62f79feed93,sources/paper.pdf,E - log(exp(E)/x),1.7141269160201773,,,,train_failed,artifacts/campaigns/v1.8-family-standard-scoped/runs/v1.8-family-standard/v1-8-family-standard-log-blind-zeml1-4298c6f72051.json
