operator_family,operator_schedule,formula,start_mode,training_mode,depth,total,verifier_recovered,same_ast_return,verified_equivalent_ast,unsupported,failed,execution_error,verifier_recovery_rate,unsupported_rate,failure_rate,post_snap_verifier_pass_rate,median_best_loss,median_post_snap_loss,median_runtime_seconds,median_active_node_count,median_candidate_complexity
raw_eml,fixed,arrhenius,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.009797709062695503,,
raw_eml,fixed,arrhenius,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,9.421157240802948e-33,9.421157240802948e-33,2.351453041890636,19.0,
raw_eml,fixed,beer_lambert,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.009825792047195137,,
raw_eml,fixed,beer_lambert,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,3.723143583092301e-33,4.496499888230497e-32,2.9510869160294533,19.0,
raw_eml,fixed,damped_oscillator,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.009691041079349816,,
raw_eml,fixed,damped_oscillator,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.027599374996498227,,
raw_eml,fixed,exp,compile,compile_only_verification,2,1,1,0,0,0,0,0,1.0,0.0,0.0,1.0,,,0.03388091700617224,,
raw_eml,fixed,exp,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.2761296670651063,3.0,
raw_eml,fixed,log,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.10030029201880097,,
raw_eml,fixed,log,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.026514708064496517,,
raw_eml,fixed,logistic,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.009357125032693148,,
raw_eml,fixed,logistic,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.027085541980341077,,
raw_eml,fixed,michaelis_menten,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.00967758393380791,,
raw_eml,fixed,michaelis_menten,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1.1019529165135634e-31,1.1019529165135634e-31,10.02499608299695,41.0,
raw_eml,fixed,planck,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.009227957925759256,,
raw_eml,fixed,planck,warm_start,compiler_warm_start_training,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.04804266698192805,,
raw_eml,fixed,radioactive_decay,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.012592417071573436,,
raw_eml,fixed,radioactive_decay,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,6.238950433728667e-33,6.238950433728667e-33,3.058815916068852,19.0,
raw_eml,fixed,scaled_exp_fast_decay,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.009248291957192123,,
raw_eml,fixed,scaled_exp_fast_decay,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,2.529487305754901e-32,2.529487305754901e-32,3.029666500049643,19.0,
raw_eml,fixed,scaled_exp_growth,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.010254665976390243,,
raw_eml,fixed,scaled_exp_growth,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,9.258645637409282e-32,9.258645637409282e-32,2.9702915829839185,19.0,
raw_eml,fixed,shockley,compile,compile_only_verification,2,1,0,0,0,1,0,0,0.0,1.0,0.0,0.0,,,0.009853417053818703,,
raw_eml,fixed,shockley,warm_start,compiler_warm_start_training,2,1,1,1,0,0,0,0,1.0,0.0,0.0,1.0,1.1979866060425772e-30,1.1979866060425772e-30,19.234909959021024,35.0,
