candidate_uid,seed_id,pair_id,formula,target_family,seed,operator_family,candidate_role,candidate_id,source_candidate_id,provenance,move_count,heuristic_gap,moves_json,ast_json,target_formula_leakage,generation_status,verifier_status
cos_pi:seed0:depth3:ipi_eml:selected_unavailable:original,cos_pi:seed0:depth3:ipi_eml:selected_unavailable,cos_pi:seed0:depth3,cos_pi,periodic,0,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
cos_pi:seed0:depth3:raw_eml:selected_unavailable:original,cos_pi:seed0:depth3:raw_eml:selected_unavailable,cos_pi:seed0:depth3,cos_pi,periodic,0,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
cos_pi:seed1:depth3:ipi_eml:selected_unavailable:original,cos_pi:seed1:depth3:ipi_eml:selected_unavailable,cos_pi:seed1:depth3,cos_pi,periodic,1,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
cos_pi:seed1:depth3:raw_eml:selected_unavailable:original,cos_pi:seed1:depth3:raw_eml:selected_unavailable,cos_pi:seed1:depth3,cos_pi,periodic,1,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
exp:seed0:depth2:ipi_eml:selected_unavailable:original,exp:seed0:depth2:ipi_eml:selected_unavailable,exp:seed0:depth2,exp,negative_control,0,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
exp:seed0:depth2:raw_eml:selected_unavailable:original,exp:seed0:depth2:raw_eml:selected_unavailable,exp:seed0:depth2,exp,negative_control,0,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
exp:seed1:depth2:ipi_eml:selected_unavailable:original,exp:seed1:depth2:ipi_eml:selected_unavailable,exp:seed1:depth2,exp,negative_control,1,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
exp:seed1:depth2:raw_eml:selected_unavailable:original,exp:seed1:depth2:raw_eml:selected_unavailable,exp:seed1:depth2,exp,negative_control,1,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
harmonic_sum:seed0:depth3:ipi_eml:selected_unavailable:original,harmonic_sum:seed0:depth3:ipi_eml:selected_unavailable,harmonic_sum:seed0:depth3,harmonic_sum,harmonic,0,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
harmonic_sum:seed0:depth3:raw_eml:selected_unavailable:original,harmonic_sum:seed0:depth3:raw_eml:selected_unavailable,harmonic_sum:seed0:depth3,harmonic_sum,harmonic,0,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
harmonic_sum:seed1:depth3:ipi_eml:selected_unavailable:original,harmonic_sum:seed1:depth3:ipi_eml:selected_unavailable,harmonic_sum:seed1:depth3,harmonic_sum,harmonic,1,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
harmonic_sum:seed1:depth3:raw_eml:selected_unavailable:original,harmonic_sum:seed1:depth3:raw_eml:selected_unavailable,harmonic_sum:seed1:depth3,harmonic_sum,harmonic,1,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
log:seed0:depth2:ipi_eml:selected_unavailable:original,log:seed0:depth2:ipi_eml:selected_unavailable,log:seed0:depth2,log,negative_control,0,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
log:seed0:depth2:raw_eml:selected_unavailable:original,log:seed0:depth2:raw_eml:selected_unavailable,log:seed0:depth2,log,negative_control,0,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
log:seed1:depth2:ipi_eml:selected_unavailable:original,log:seed1:depth2:ipi_eml:selected_unavailable,log:seed1:depth2,log,negative_control,1,ipi_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
log:seed1:depth2:raw_eml:selected_unavailable:original,log:seed1:depth2:raw_eml:selected_unavailable,log:seed1:depth2,log,negative_control,1,raw_eml,original,,,original_snap,0,0.0,[],,False,source_candidate_payload_missing,pending
