diagnostic_id,pair_id,formula,target_family,seed,operator_family,candidate_role,candidate_id,fallback_candidate_id,comparison_outcome,trained_exact_recovery,verification_outcome,status,snap_min_margin,snap_active_node_count,low_margin_slot_count,lowest_margin_slots_json,low_confidence_alternatives_json,pre_snap_mse,post_snap_mse,post_snap_minus_soft_best,post_snap_minus_pre_snap,branch_cut_crossing_count,branch_cut_proximity_count,branch_input_count,artifact_path,snap_mismatch_class,neighborhood_seed
cos_pi:seed0:depth3:ipi_eml:selected_unavailable,cos_pi:seed0:depth3,cos_pi,periodic,0,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,1.4932648931246568,3.0737464013609714,,,1.0,0.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-ipi-v116-blind-d646ceb81086.json,branch_pathology,True
cos_pi:seed0:depth3:raw_eml:selected_unavailable,cos_pi:seed0:depth3,cos_pi,periodic,0,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,0.525871974855633,0.6670014952477884,,,0.0,0.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-raw-v116-blind-c9906f0a620d.json,loss_only_snap_candidate,True
cos_pi:seed1:depth3:ipi_eml:selected_unavailable,cos_pi:seed1:depth3,cos_pi,periodic,1,ipi_eml,selected_unavailable,,,ipi_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,3.8601017706975562,0.5298875279830182,,,1.0,35.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-ipi-v116-blind-8400b3ba3d1b.json,branch_pathology,True
cos_pi:seed1:depth3:raw_eml:selected_unavailable,cos_pi:seed1:depth3,cos_pi,periodic,1,raw_eml,selected_unavailable,,,ipi_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,0.6029758622751309,0.6662340527072067,,,0.0,12.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-cos-pi-raw-v116-blind-434cf45abd91.json,loss_only_snap_candidate,True
exp:seed0:depth2:ipi_eml:selected_unavailable,exp:seed0:depth2,exp,negative_control,0,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,1.553039719409118,3.2395529792987188,,,0.0,24.0,72.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-ipi-v116-blind-96fd9b472e1c.json,loss_only_snap_candidate,True
exp:seed0:depth2:raw_eml:selected_unavailable,exp:seed0:depth2,exp,negative_control,0,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,repaired_candidate,,,,,,0.3934950622464755,0.5638625830597994,,,0.0,12.0,72.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-raw-v116-blind-9954b4b63c6d.json,loss_only_snap_candidate,True
exp:seed1:depth2:ipi_eml:selected_unavailable,exp:seed1:depth2,exp,negative_control,1,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,1.1492919199798428,3.2390108567314653,,,0.0,0.0,72.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-ipi-v116-blind-f16264d68e9f.json,loss_only_snap_candidate,True
exp:seed1:depth2:raw_eml:selected_unavailable,exp:seed1:depth2,exp,negative_control,1,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,repaired_candidate,,,,,,0.4368210719878154,0.5638646783616865,,,0.0,24.0,72.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-exp-raw-v116-blind-cf128515ef41.json,loss_only_snap_candidate,True
harmonic_sum:seed0:depth3:ipi_eml:selected_unavailable,harmonic_sum:seed0:depth3,harmonic_sum,harmonic,0,ipi_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,2.5800610806940654,2.728140917106817,,,0.0,12.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-ipi-v116-blind-6dce386f4e7b.json,loss_only_snap_candidate,True
harmonic_sum:seed0:depth3:raw_eml:selected_unavailable,harmonic_sum:seed0:depth3,harmonic_sum,harmonic,0,raw_eml,selected_unavailable,,,raw_lower_post_snap_mse,False,failed,snapped_but_failed,,,,,,0.9565200460979354,0.845025725690132,,,0.0,4.0,168.0,artifacts/campaigns/v1.16-geml-pilot/runs/v1.16-geml-pilot/v1-16-geml-pilot-harmonic-sum-raw-v116-blind-894efc04fa0d.json,loss_only_snap_candidate,True
