depth,start_mode,training_mode,seed_count,recovered,total,recovery_rate,best_loss_median,best_loss_min,best_loss_max,post_snap_loss_median,post_snap_loss_min,post_snap_loss_max,runtime_seconds_median,runtime_seconds_min,runtime_seconds_max,snap_min_margin_median,snap_min_margin_min,snap_min_margin_max
2,blind,blind_training,2,2,2,1.0,8.399855357685602e-07,2.2240559884125333e-09,1.6777470155487078e-06,0.0,0.0,0.0,1.2537830419605598,1.2507453339640051,1.2568207499571145,0.7703720043734779,0.691845447155157,0.8488985615917987
2,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889118545106612,0.986585083999671,0.9912386250216514,1.0,1.0,1.0
3,blind,blind_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8836438744910993,1.8124062909628265,1.954881458019372,1.0,1.0,1.0
3,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0005924584693275,0.9939281669794582,1.007256749959197,1.0,1.0,1.0
4,blind,blind_training,2,0,2,0.0,0.23188966292699678,0.15449570283634007,0.3092836230176535,0.6359713792353318,0.1544957028363401,1.1174470556343234,2.723127959005069,2.7103855840396136,2.7358703339705244,0.5002908595469733,0.0005817190939464978,1.0
4,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1625798129825853,1.0893426669645123,1.2358169590006582,1.0,1.0,1.0
5,blind,blind_training,2,0,2,0.0,2.0070980065211708,2.004365981488005,2.0098300315543365,2.0137984788604744,2.012853137706978,2.0147438200139702,4.673532729008002,4.663299874984659,4.683765583031345,1.0,1.0,1.0
5,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.235188583494164,1.201129042019602,1.2692481249687262,1.0,1.0,1.0
6,blind,blind_training,2,0,2,0.0,0.28705099795018924,0.26015496374291974,0.3139470321574587,0.3388802684930092,0.33870616133121495,0.3390543756548034,8.57033358301851,8.553727083024569,8.58694008301245,1.0,1.0,1.0
6,perturbed_tree,perturbed_true_tree_training,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5576402289734688,1.5450576249859296,1.570222832961008,1.0,1.0,1.0
